                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.67172,                0.47794,                  1.652,                0.97668,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.04843,             0.00042987,             0.00042987
                     54,                0.53984,                0.41038,                 1.1572,                0.94174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.047436,             0.00043637,             0.00043637
                     55,                0.62439,                 0.5067,                  1.735,                 0.9725,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.046443,              0.0004428,              0.0004428
                     56,                0.63292,                0.56373,                0.65612,                0.87252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.045449,             0.00044917,             0.00044917
                     57,                0.68104,                0.70743,                0.67841,                0.86711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.044455,             0.00045547,             0.00045547
                     58,                0.61595,                0.43278,                0.66844,                0.87289,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.043462,              0.0004617,              0.0004617
                     59,                 0.5362,                0.41184,                0.76199,                0.86953,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.042468,             0.00046787,             0.00046787
                     60,                0.71246,                 0.7265,                 0.7243,                0.90371,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.041474,             0.00047397,             0.00047397
                     61,                0.65707,                0.50387,                 1.1809,                0.94817,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.04048,                0.00048,                0.00048
                     62,                0.71413,                0.75088,                0.76658,                0.87065,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.039486,             0.00048597,             0.00048597
                     63,                0.65804,                0.54951,                0.75129,                 0.8575,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.038492,             0.00049187,             0.00049187
                     64,                0.61668,                0.46736,                0.69594,                0.89214,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.037498,              0.0004977,              0.0004977
                     65,                0.67427,                0.42811,                0.90486,                0.96422,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.036503,             0.00050347,             0.00050347
                     66,                0.59899,                 0.4679,                0.70083,                0.89127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.035509,             0.00050917,             0.00050917
                     67,                0.89214,                0.50385,                 1.7431,                 1.0667,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.034515,              0.0005148,              0.0005148
                     68,                0.61152,                0.49276,                 0.7727,                0.90225,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.03352,             0.00052037,             0.00052037
