                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.1203,                0.83053,                0.94585,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00065333,             0.00065333,             0.00065333
                    107,                 1.3649,                0.92027,                0.94358,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00065,                0.00065,                0.00065
                    108,                 1.1426,                0.93093,                0.99924,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00064667,             0.00064667,             0.00064667
                    109,                 1.2616,                0.82515,                0.97041,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00064333,             0.00064333,             0.00064333
                    110,                 1.1977,                0.86198,                 0.9767,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00064,                0.00064,                0.00064
                    111,                 1.0979,                0.83446,                0.95135,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00063667,             0.00063667,             0.00063667
                    112,                 1.2638,                0.86892,                0.93399,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00063333,             0.00063333,             0.00063333
                    113,                 1.3692,                0.93145,                0.96896,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00063,                0.00063,                0.00063
                    114,                 1.3101,                 0.8494,                0.92254,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00062667,             0.00062667,             0.00062667
                    115,                 1.1698,                 1.2023,                 1.0966,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00062333,             0.00062333,             0.00062333
                    116,                 1.2652,                0.88545,                0.99848,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00062,                0.00062,                0.00062
                    117,                 1.0183,                0.95204,                 1.0128,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00061667,             0.00061667,             0.00061667
                    118,                 1.0463,                0.92482,                 1.0294,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00061333,             0.00061333,             0.00061333
                    119,                 1.0917,                0.86789,                0.99536,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00061,                0.00061,                0.00061
                    120,                0.99376,                0.80533,                0.95422,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00060667,             0.00060667,             0.00060667
                    121,                 1.1556,                0.85982,                0.93398,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00060333,             0.00060333,             0.00060333
                    122,                 1.2373,                0.82913,                0.88915,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0006,                 0.0006,                 0.0006
                    123,                 1.3261,                 0.8723,                0.99794,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00059667,             0.00059667,             0.00059667
                    124,                 1.2617,                 0.8399,                 0.8874,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00059333,             0.00059333,             0.00059333
                    125,                 1.0389,                0.81233,                0.92181,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00059,                0.00059,                0.00059
                    126,                 1.0424,                0.80433,                0.94614,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00058667,             0.00058667,             0.00058667
                    127,                 1.0801,                 1.0698,                  1.058,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00058333,             0.00058333,             0.00058333
                    128,                  1.389,                0.86268,                0.94842,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00058,                0.00058,                0.00058
                    129,                 1.2533,                0.84865,                 1.0159,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00057667,             0.00057667,             0.00057667
                    130,                 1.2134,                0.83114,                0.87549,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00057333,             0.00057333,             0.00057333
                    131,                 1.2235,                0.82235,                0.96336,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00057,                0.00057,                0.00057
                    132,                 1.3725,                0.84718,                0.98688,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00056667,             0.00056667,             0.00056667
                    133,                 1.0622,                0.76417,                0.90206,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00056333,             0.00056333,             0.00056333
                    134,                 1.0621,                0.95955,                  1.024,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00056,                0.00056,                0.00056
                    135,                 1.0462,                0.84882,                0.97695,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00055667,             0.00055667,             0.00055667
                    136,                 1.3126,                0.84891,                0.90997,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00055333,             0.00055333,             0.00055333
                    137,                 1.0854,                0.78702,                0.92116,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00055,                0.00055,                0.00055
                    138,                 1.1484,                0.85499,                  1.012,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00054667,             0.00054667,             0.00054667
                    139,                  1.149,                0.86366,                0.92901,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00054333,             0.00054333,             0.00054333
                    140,                 1.0646,                 1.1344,                 1.1489,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00054,                0.00054,                0.00054
                    141,                 1.0108,                0.83869,                0.95465,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00053667,             0.00053667,             0.00053667
                    142,                 1.0917,                0.78016,                0.91853,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00053333,             0.00053333,             0.00053333
                    143,                 1.3492,                0.87573,                0.92417,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00053,                0.00053,                0.00053
                    144,                0.94929,                0.77366,                0.94501,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00052667,             0.00052667,             0.00052667
                    145,                 1.3824,                 0.8988,                0.97479,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00052333,             0.00052333,             0.00052333
                    146,                 1.0292,                0.83076,                0.96713,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00052,                0.00052,                0.00052
                    147,                 1.0691,                 0.9326,                 0.9999,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00051667,             0.00051667,             0.00051667
                    148,                 1.0972,                0.79331,                 0.9074,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00051333,             0.00051333,             0.00051333
                    149,                0.95209,                0.79837,                0.94072,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00051,                0.00051,                0.00051
                    150,                 1.1772,                0.83268,                 1.0184,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00050667,             0.00050667,             0.00050667
                    151,                 1.0677,                0.77911,                0.91605,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00050333,             0.00050333,             0.00050333
                    152,                 1.0246,                0.78763,                0.88394,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0005,                 0.0005,                 0.0005
                    153,                 1.0421,                0.76715,                0.90987,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00049667,             0.00049667,             0.00049667
                    154,                 1.0113,                0.84264,                0.95632,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00049333,             0.00049333,             0.00049333
                    155,                 1.0373,                 1.0354,                 1.0775,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00049,                0.00049,                0.00049
                    156,                 1.0595,                0.74706,                 0.9014,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00048667,             0.00048667,             0.00048667
                    157,                 1.3704,                0.86396,                0.97351,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00048333,             0.00048333,             0.00048333
                    158,                 1.4825,                0.89636,                0.97222,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00048,                0.00048,                0.00048
                    159,                 1.1215,                0.78238,                0.93564,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00047667,             0.00047667,             0.00047667
                    160,                0.92098,                0.71397,                0.87903,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00047333,             0.00047333,             0.00047333
                    161,                0.94786,                0.74848,                0.92615,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00047,                0.00047,                0.00047
                    162,                 1.2157,                0.80722,                0.95985,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00046667,             0.00046667,             0.00046667
                    163,                0.93026,                0.75525,                0.97573,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00046333,             0.00046333,             0.00046333
                    164,                 1.0801,                 1.0723,                 1.0512,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00046,                0.00046,                0.00046
